GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
;;;298383;185664.92;48661669.94;9219422.33;7475481.90;4092492.35;1388439.07;3041904.41;2081649.74;1249229.61;418648.30;290539.66;210313.33;1398151.05;1286545.50;1072906.37;490222.49;21946526.34;523.35;351533.29;849751.44
M; 0 t/m  4 jaar;AA EN HUNZE;507;468.83;473370.77;43305.49;14056.81;26239.56;12829.29;36034.65;12610.11;9311.14;15968.80;13783.67;638.08;5004.86;0.00;0.00;0.00;2571.36;31.05;0.00;186.03
M; 0 t/m  4 jaar;AALBURG;428;387.28;340442.37;23395.86;5555.83;21673.15;9417.98;20159.19;7580.33;7213.81;6135.05;15297.60;315.06;6155.09;0.00;0.00;0.00;186.08;5.40;0.00;135.30
M; 0 t/m  4 jaar;AALSMEER;876;790.65;932841.57;54597.52;34355.66;43971.27;22413.37;61629.32;17129.51;19042.00;20086.43;14105.95;0.00;20465.44;0.00;0.00;157.44;1743.72;12.60;0.00;13285.23
M; 0 t/m  4 jaar;AALTEN;667;600.00;515879.78;43516.71;2404.19;33749.10;18472.64;46720.61;20012.69;12909.41;20762.75;31816.27;1173.82;6282.28;0.00;0.00;1422.67;62.75;3.60;0.00;107.40
M; 0 t/m  4 jaar;ACHTKARSPELEN;810;737.03;766456.80;88084.16;6681.81;41477.79;19157.34;53633.01;11503.74;16695.10;23423.96;30454.49;204.30;17011.84;0.00;0.00;0.00;206.11;955.80;0.00;453.66
M; 0 t/m  4 jaar;ALBLASSERDAM;637;561.21;1252440.29;140225.60;9715.96;30705.39;15936.39;31785.55;71702.31;8872.70;23801.77;19202.75;0.00;11421.05;0.00;0.00;0.00;662.75;11.25;0.00;165.60
M; 0 t/m  4 jaar;ALBRANDSWAARD;735;663.22;927635.48;114174.07;2043.52;37028.38;21611.09;43714.55;19232.03;10709.17;29860.88;30449.94;0.00;13027.62;0.00;0.00;0.00;1422.76;7.20;0.00;368.37
M; 0 t/m  4 jaar;ALKMAAR;2967;2660.93;4005510.06;258936.51;22599.87;147227.49;71141.10;165486.61;55896.44;87464.96;58017.27;67205.26;4086.51;70806.48;0.00;0.00;168.55;7153.37;36.90;0.00;2707.21
M; 0 t/m  4 jaar;ALMELO;1906;1714.63;3518922.31;254976.19;87437.11;96757.71;51693.62;181015.50;50102.47;42179.39;66331.14;81595.14;7742.31;32328.75;0.00;0.00;3777.82;2492.23;27.45;0.00;682.51
M; 0 t/m  4 jaar;ALMERE;6255;5619.51;7825671.53;639268.24;99214.01;309943.90;174191.04;445270.67;244331.10;179465.22;107291.10;234203.80;7905.77;106253.46;0.00;0.00;16867.92;33222.25;166.95;0.00;150800.88
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;3085;2796.87;3047390.84;294522.74;33744.53;156261.33;81375.30;271674.84;95647.28;59992.63;92679.74;105169.02;3433.75;46454.56;0.00;0.00;1407.20;18265.47;50.85;0.00;48559.26
M; 0 t/m  4 jaar;ALPHEN-CHAAM;231;206.87;235240.18;11179.65;0.00;11351.97;5990.77;10660.78;6590.71;4003.11;7652.48;7232.16;5721.03;1576.62;0.00;0.00;0.00;988.30;5.40;0.00;105.58
M; 0 t/m  4 jaar;AMELAND;98;91.52;62033.51;4054.05;0.00;5157.33;2463.82;7269.15;418.61;1094.70;1326.37;662.18;0.00;1802.75;0.00;0.00;0.00;76.13;92.70;0.00;26.40
M; 0 t/m  4 jaar;AMERSFOORT;4955;4453.77;5767012.01;325869.60;39689.36;246507.25;132059.53;381090.13;72285.50;113274.82;93449.63;174770.52;515.32;45777.55;0.00;0.00;4039.40;22469.47;146.70;0.00;20457.57
M; 0 t/m  4 jaar;AMSTELVEEN;2444;2154.54;2483901.87;173568.16;44865.37;116484.63;56927.30;179224.72;64373.26;60027.01;63957.47;74653.54;0.00;50353.26;0.00;0.00;5195.01;13131.55;23.85;0.00;31253.40
M; 0 t/m  4 jaar;AMSTERDAM;25103;22054.49;31815430.25;1837455.14;690610.06;1225798.96;662133.86;1658604.46;507126.60;726050.72;488809.97;971123.94;9885.79;451414.47;0.00;0.00;39219.79;183447.51;455.85;0.00;213663.66
M; 0 t/m  4 jaar;APELDOORN;4123;3726.10;4148710.88;339179.62;36120.45;207273.63;97588.18;285310.25;93368.49;79270.00;56752.82;129012.84;2506.13;46595.25;0.00;0.00;5713.86;9156.57;88.65;0.00;9012.08
M; 0 t/m  4 jaar;APPINGEDAM;275;250.74;308014.69;16685.32;14260.51;14027.23;7777.78;22312.09;24145.90;5004.66;15089.14;11633.45;403.72;4689.38;0.00;0.00;1379.90;289.89;11.25;0.00;4230.72
M; 0 t/m  4 jaar;ARNHEM;4552;4050.90;5501139.30;475338.78;79624.90;225247.23;118310.65;405788.88;147326.82;92820.46;174661.31;227032.80;5771.65;82884.72;0.00;0.00;1020.19;13020.37;92.70;0.00;23445.84
M; 0 t/m  4 jaar;ASSEN;1862;1686.05;1775148.19;137461.71;157983.15;93879.10;48223.57;149474.31;38741.35;27978.39;51006.73;71340.56;778.41;19048.57;0.00;0.00;1321.70;1744.96;131.85;0.00;15725.65
M; 0 t/m  4 jaar;ASTEN;398;360.56;796115.84;32064.36;6788.66;20092.01;10774.76;21524.09;4647.78;7149.79;27338.07;20021.79;3179.25;7118.67;0.00;0.00;0.00;450.61;0.00;0.00;216.12
M; 0 t/m  4 jaar;BAARLE-NASSAU;144;130.83;89670.08;6247.69;0.00;7102.09;4031.33;9450.67;2111.11;1912.15;2528.78;2230.59;0.00;2099.45;0.00;0.00;0.00;2513.34;0.00;0.00;114.54
M; 0 t/m  4 jaar;BAARN;607;557.85;712740.75;42493.57;0.00;31301.20;14908.28;42819.46;7693.52;13601.95;7544.17;27204.68;4730.10;6368.57;0.00;0.00;0.00;2826.74;15.75;0.00;672.87
M; 0 t/m  4 jaar;BARENDRECHT;1417;1290.45;1965752.24;148825.17;12043.38;71728.82;37971.12;86305.41;28447.21;20318.15;54002.38;62907.56;5045.91;29673.64;0.00;0.00;2629.35;19693.22;28.35;0.00;1459.78
M; 0 t/m  4 jaar;BARNEVELD;1986;1801.27;2252876.84;142006.42;14607.40;100134.32;39935.72;114361.38;41252.95;42193.84;54706.87;46116.08;4305.75;16458.97;0.00;0.00;0.00;1171.49;51.30;0.00;1959.55
M; 0 t/m  4 jaar;BEDUM;277;249.97;346922.99;21964.87;7580.81;13856.80;5816.59;17967.58;7555.33;5670.10;6153.06;7401.29;313.94;3467.52;0.00;0.00;0.00;695.86;12.60;0.00;56.45
M; 0 t/m  4 jaar;BEEK;322;284.51;355640.94;46196.29;8626.84;15872.98;8842.52;17942.04;6382.33;4633.18;10852.88;19976.95;0.00;1747.26;0.00;0.00;773.19;12151.21;7.65;0.00;109.70
M; 0 t/m  4 jaar;BEEMSTER;219;202.41;226571.80;22761.51;4435.10;11264.31;4599.53;15726.10;2083.20;4561.20;2717.35;3332.87;0.00;2669.10;0.00;0.00;0.00;194.50;7.20;0.00;135.15
M; 0 t/m  4 jaar;BEESEL;319;285.98;424051.81;69961.72;35168.02;15851.85;8471.39;19334.03;21490.29;6537.13;11303.77;13236.72;0.00;7723.03;0.00;0.00;0.00;2389.54;6.75;0.00;110.40
M; 0 t/m  4 jaar;BELLINGWEDDE;176;153.76;738855.71;21931.25;6275.64;8415.36;4337.90;13412.60;6295.10;1931.52;3326.40;3703.21;392.25;3787.59;0.00;0.00;0.00;208.15;3.15;0.00;229.66
M; 0 t/m  4 jaar;BERG EN DAL;740;651.71;745438.41;56593.50;2451.04;36000.67;18265.32;51794.86;10725.11;15909.25;27445.17;33460.56;0.00;9034.28;0.00;0.00;170.40;653.57;11.25;0.00;608.92
M; 0 t/m  4 jaar;BERGEIJK;396;358.11;292739.46;46288.74;11273.73;19799.20;12886.87;27333.95;20541.33;8341.45;13137.10;20749.47;0.00;1425.82;0.00;0.00;168.00;6395.19;3.60;0.00;824.14
M; 0 t/m  4 jaar;BERGEN LB;240;214.41;209927.58;17558.36;12233.70;11907.15;7403.29;17319.71;9834.69;5746.89;10315.46;24371.14;0.00;841.44;0.00;0.00;0.00;56.44;0.45;0.00;292.23
M; 0 t/m  4 jaar;BERGEN NH;454;410.68;349490.85;31146.41;262.64;22075.71;8913.90;17555.42;17079.23;9367.80;4565.15;9711.86;0.00;4487.38;0.00;0.00;0.00;2298.30;10.35;0.00;188.81
M; 0 t/m  4 jaar;BERGEN OP ZOOM;1669;1500.14;1571469.56;192843.50;17135.64;84161.62;46244.25;131410.52;48594.18;24113.50;48907.95;79278.01;1932.07;20518.09;0.00;0.00;816.82;24609.93;12.15;0.00;6944.01
M; 0 t/m  4 jaar;BERKELLAND;958;871.03;1523585.61;90371.28;19027.48;48826.63;26697.41;73201.88;18162.31;16158.48;31008.20;51733.77;4282.65;20095.13;0.00;0.00;2243.95;1283.57;10.35;0.00;463.77
M; 0 t/m  4 jaar;BERNHEZE;743;674.42;693837.84;73708.64;7723.85;37577.06;22304.40;48727.94;14284.87;17208.39;23764.45;27207.20;0.00;4990.77;0.00;0.00;0.00;507.80;7.20;0.00;518.34
M; 0 t/m  4 jaar;BEST;701;630.53;685680.27;53177.79;1102.77;35184.28;19986.79;38291.15;18268.96;12109.60;16836.90;48207.01;305.70;14986.42;0.00;0.00;168.00;5411.91;17.55;0.00;669.83
M; 0 t/m  4 jaar;BEUNINGEN;580;524.88;557312.89;42864.71;5055.55;29685.68;15666.06;41122.73;28232.63;30403.19;33160.08;25781.24;2755.33;8135.86;0.00;0.00;0.00;2407.37;7.65;0.00;556.91
M; 0 t/m  4 jaar;BEVERWIJK;1162;1041.10;1069246.41;84292.01;15007.79;57608.69;30237.68;92626.24;8082.34;35219.67;23510.03;33347.21;0.00;14854.64;0.00;0.00;453.79;7589.57;26.10;0.00;5352.64
M; 0 t/m  4 jaar;BINNENMAAS;679;607.71;484786.91;59256.70;1284.97;33535.38;16537.35;41475.22;11013.29;10926.62;9790.44;9449.85;565.85;4879.25;0.00;0.00;185.22;444.58;9.00;0.00;321.96
M; 0 t/m  4 jaar;BLADEL;502;453.57;428914.38;24801.80;0.00;25385.74;14557.43;28473.30;8846.91;9073.64;10508.06;13386.76;6097.10;4673.31;0.00;0.00;1091.17;1249.44;5.40;0.00;638.52
M; 0 t/m  4 jaar;BLARICUM;192;174.19;242888.34;14406.14;2376.41;9615.01;4968.44;13892.70;1188.34;1267.29;5362.80;4397.17;0.00;1742.29;0.00;0.00;0.00;927.66;1.80;0.00;604.40
M; 0 t/m  4 jaar;BLOEMENDAAL;469;430.60;428214.13;30404.17;2756.56;24242.94;10715.58;29549.46;8184.00;8366.29;6043.50;16957.58;15.60;5807.05;0.00;0.00;453.79;965.54;16.20;0.00;873.12
M; 0 t/m  4 jaar;BODEGRAVEN-REEUWIJK;964;863.12;971691.46;115774.32;16202.77;48113.01;25705.76;51592.61;37292.94;19229.70;26394.35;43820.54;10391.88;10547.02;0.00;0.00;0.00;1598.17;14.85;0.00;712.96
M; 0 t/m  4 jaar;BOEKEL;231;208.45;181905.46;7420.18;2249.65;11483.46;5634.95;11641.91;1345.71;5037.85;3121.65;3996.80;223.30;1391.80;0.00;0.00;174.11;0.00;0.00;0.00;122.70
M; 0 t/m  4 jaar;BORGER-ODOORN;528;480.83;401977.57;52212.11;93258.67;27166.32;15270.61;38378.30;3540.07;12826.83;7770.45;12262.18;1449.04;3757.81;0.00;0.00;0.00;1306.45;28.35;0.00;168.80
M; 0 t/m  4 jaar;BORNE;607;552.70;771635.36;88712.63;6159.88;30478.13;15881.97;45477.50;24551.66;11476.28;21836.25;20838.05;455.18;11881.13;0.00;0.00;599.01;682.93;14.85;0.00;55.20
M; 0 t/m  4 jaar;BORSELE;595;533.94;593325.12;58009.58;4434.22;29541.42;13638.50;27640.51;20098.33;9502.41;19918.45;21218.07;1068.24;4502.69;0.00;0.00;0.00;3186.82;1.80;0.00;405.27
M; 0 t/m  4 jaar;BOXMEER;582;522.68;847378.69;37462.67;904.31;28767.23;12755.54;37190.45;29037.46;16482.60;27314.91;26768.11;22897.56;10574.27;0.00;0.00;408.41;447.22;10.35;0.00;947.80
M; 0 t/m  4 jaar;BOXTEL;694;632.25;612965.37;39964.82;23563.55;35336.30;20560.19;32402.33;14094.20;20139.74;26427.81;32799.09;0.00;4781.44;0.00;0.00;5157.29;405.87;4.50;0.00;2845.61
M; 0 t/m  4 jaar;BREDA;4864;4343.24;5903200.68;406770.03;37789.31;240810.94;127294.64;272818.74;111843.26;104513.87;197732.85;196505.10;6544.80;55363.04;0.00;0.00;1441.66;30007.24;51.30;0.00;4173.69
M; 0 t/m  4 jaar;BRIELLE;332;293.60;331836.09;24232.06;0.00;16374.15;8305.01;16047.78;8777.70;3830.98;7642.56;9716.10;544.77;5195.93;0.00;0.00;0.00;1062.01;3.60;0.00;132.77
M; 0 t/m  4 jaar;BRONCKHORST;689;625.82;707228.18;84378.31;4275.41;35180.88;17944.56;47001.41;19851.70;14720.08;22065.86;19560.64;972.12;19554.21;0.00;0.00;0.00;281.74;4.05;0.00;228.60
M; 0 t/m  4 jaar;BRUMMEN;431;393.49;688609.06;37044.79;1080.71;21885.78;12746.59;30241.34;10436.98;5383.25;8177.76;30437.02;1591.43;8206.14;0.00;0.00;1523.83;3071.73;5.40;0.00;153.47
M; 0 t/m  4 jaar;BRUNSSUM;644;576.83;796662.42;80520.07;6843.70;31776.75;17733.73;46197.54;11060.98;19240.02;14234.96;36812.43;8324.08;10077.37;0.00;0.00;1430.40;999.29;3.60;0.00;2101.46
M; 0 t/m  4 jaar;BUNNIK;381;346.88;307884.29;29796.23;2195.43;19390.79;8652.11;22327.62;2665.94;5132.76;4634.17;14993.06;0.00;2802.63;0.00;0.00;695.87;163.92;9.00;0.00;717.98
M; 0 t/m  4 jaar;BUNSCHOTEN;701;634.31;1041849.29;72488.00;3618.85;34625.70;20103.99;48862.36;9533.59;17901.79;13338.62;36697.84;13803.78;10296.22;0.00;0.00;2502.58;3246.01;9.00;0.00;4745.40
M; 0 t/m  4 jaar;BUREN;649;586.81;596042.40;51160.61;13002.21;32258.42;16483.06;52433.78;4811.77;14947.01;12706.41;22002.02;0.00;10289.08;0.00;0.00;1007.06;211.84;7.20;0.00;734.92
M; 0 t/m  4 jaar;CAPELLE AAN DEN IJSSEL;1932;1719.14;1836194.45;153396.65;70127.15;95783.31;53568.54;150927.38;34843.93;33813.80;31935.20;54268.93;2450.74;21830.16;0.00;0.00;6665.14;19486.89;13.50;0.00;1895.40
M; 0 t/m  4 jaar;CASTRICUM;689;627.14;1023620.31;51356.50;7515.86;34799.59;17080.69;33000.89;8161.48;12962.28;18659.38;24933.70;750.92;11680.21;0.00;0.00;166.70;2064.03;20.70;0.00;252.11
M; 0 t/m  4 jaar;COEVORDEN;784;705.56;719975.24;58259.19;35608.01;38686.82;22238.88;60369.65;14640.81;17427.76;21843.88;22027.39;0.00;9448.81;0.00;0.00;0.00;2381.34;32.85;0.00;192.53
M; 0 t/m  4 jaar;CRANENDONCK;489;446.08;631434.97;51294.66;0.00;24676.29;12268.84;22156.51;8141.31;9265.99;11127.08;30171.81;785.64;4725.04;0.00;0.00;1380.41;1232.97;7.65;0.00;62.09
M; 0 t/m  4 jaar;CROMSTRIJEN;297;267.63;390089.10;32433.90;583.64;15136.21;6603.22;19556.40;7658.79;3347.21;6300.36;14011.38;0.00;3561.77;0.00;0.00;0.00;292.49;0.45;0.00;99.50
M; 0 t/m  4 jaar;CUIJK;639;568.63;1100122.69;57868.36;8695.32;31299.51;16116.68;53798.67;21063.36;14981.58;31213.97;34901.67;0.00;9282.11;0.00;0.00;0.00;1376.15;10.80;0.00;616.29
